batch_id,level,unit,category,count,denominator,percentage
ALL,l1,entry,业务逻辑,95,156,60.8974358974359
ALL,l1,entry,代码注入,12,156,7.6923076923076925
ALL,l1,entry,XSS,9,156,5.769230769230769
ALL,l1,entry,反序列化漏洞,7,156,4.487179487179487
ALL,l1,entry,反序列化,5,156,3.2051282051282053
ALL,l1,entry,命令注入,4,156,2.5641025641025643
ALL,l1,entry,SSRF,3,156,1.9230769230769231
ALL,l1,entry,供应链攻击,3,156,1.9230769230769231
ALL,l1,entry,原型链污染,3,156,1.9230769230769231
ALL,l1,entry,模板注入,3,156,1.9230769230769231
ALL,l1,entry,注入与反序列化,3,156,1.9230769230769231
ALL,l1,entry,文件操作安全,2,156,1.2820512820512822
ALL,l1,entry,权限绕过,2,156,1.2820512820512822
ALL,l1,entry,沙箱逃逸,2,156,1.2820512820512822
ALL,l1,entry,注入类,1,156,0.6410256410256411
ALL,l1,entry,路径穿越,1,156,0.6410256410256411
ALL,l1,entry,路径遍历 / 任意文件读取,1,156,0.6410256410256411
ALL,l1,report,业务逻辑,36,61,59.01639344262295
ALL,l1,report,XSS,4,61,6.557377049180328
ALL,l1,report,代码注入,4,61,6.557377049180328
ALL,l1,report,SSRF,3,61,4.918032786885246
ALL,l1,report,命令注入,2,61,3.278688524590164
ALL,l1,report,供应链攻击,1,61,1.639344262295082
ALL,l1,report,原型链污染,1,61,1.639344262295082
ALL,l1,report,反序列化,1,61,1.639344262295082
ALL,l1,report,反序列化漏洞,1,61,1.639344262295082
ALL,l1,report,文件操作安全,1,61,1.639344262295082
ALL,l1,report,权限绕过,1,61,1.639344262295082
ALL,l1,report,模板注入,1,61,1.639344262295082
ALL,l1,report,沙箱逃逸,1,61,1.639344262295082
ALL,l1,report,注入与反序列化,1,61,1.639344262295082
ALL,l1,report,注入类,1,61,1.639344262295082
ALL,l1,report,路径穿越,1,61,1.639344262295082
ALL,l1,report,路径遍历 / 任意文件读取,1,61,1.639344262295082
ALL,l2,entry,BL-AUTHZ-MISSING(授权缺失),41,156,26.28205128205128
ALL,l2,entry,BL-AUTHZ-BROKEN(授权逻辑错误),21,156,13.461538461538462
ALL,l2,entry,BL-AGENT-CAPABILITY(AI/Agent能力边界绕过),11,156,7.051282051282051
ALL,l2,entry,BL-AUTH-BYPASS(身份认证绕过),10,156,6.410256410256411
ALL,l2,entry,不可信数据反序列化,7,156,4.487179487179487
ALL,l2,entry,Stored XSS,6,156,3.8461538461538463
ALL,l2,entry,表达式沙箱逃逸,6,156,3.8461538461538463
ALL,l2,entry,BL-INSECURE-DEFAULT(不安全默认配置),5,156,3.2051282051282053
ALL,l2,entry,不可信数据反序列化 / 远程代码执行,5,156,3.2051282051282053
ALL,l2,entry,BL-MASS-ASSIGNMENT(参数/属性污染),3,156,1.9230769230769231
ALL,l2,entry,Prototype Pollution,3,156,1.9230769230769231
ALL,l2,entry,不安全反序列化,3,156,1.9230769230769231
ALL,l2,entry,任意模块导入,3,156,1.9230769230769231
ALL,l2,entry,参数注入,3,156,1.9230769230769231
ALL,l2,entry,存储型XSS,3,156,1.9230769230769231
ALL,l2,entry,嵌入恶意代码,3,156,1.9230769230769231
ALL,l2,entry,服务端模板注入 (SSTI),3,156,1.9230769230769231
ALL,l2,entry,BL-RACE-LOGIC(业务层竞争条件),2,156,1.2820512820512822
ALL,l2,entry,TOCTOU / 符号链接跟随 / 路径穿越,2,156,1.2820512820512822
ALL,l2,entry,不安全的临时文件/目录权限,2,156,1.2820512820512822
ALL,l2,entry,代码注入 / VM 沙箱逃逸,2,156,1.2820512820512822
ALL,l2,entry,表达式注入（Expression Injection）,2,156,1.2820512820512822
ALL,l2,entry,BL-ORIGIN-INTEGRITY(来源/签名/完整性校验缺失),1,156,0.6410256410256411
