granularity,record_id,repo_url,commit,batch_ids,source_entry_ids,ghsa,cve
critical_operations,critical-operation-00001,https://github.com/BerriAI/litellm,24f847b84c947e13b765edaf172f646fd1b06297,"[""mixed-05""]","[""entry-00419""]","[""GHSA-JJHC-V7C2-5HH6""]","[""CVE-2026-35030""]"
critical_operations,critical-operation-00002,https://github.com/FlowiseAI/Flowise,1ae1638ed972bcc913611ae9268a972d0ae127ec,"[""mixed-02""]","[""entry-00065""]","[""GHSA-FJH6-8679-9PCH""]",[]
critical_operations,critical-operation-00003,https://github.com/FlowiseAI/Flowise,4b1b8ba376db92ba2974b70c9faee05444157dd9,"[""mixed-02""]","[""entry-00466""]","[""GHSA-48M6-CH88-55MJ""]",[]
critical_operations,critical-operation-00004,https://github.com/FlowiseAI/Flowise,4b1b8ba376db92ba2974b70c9faee05444157dd9,"[""mixed-02""]","[""entry-00465""]","[""GHSA-48M6-CH88-55MJ""]",[]
critical_operations,critical-operation-00005,https://github.com/FlowiseAI/Flowise,55b6913c03f0dba37cc207975f0c0d0786e0f3c7,"[""mixed-02""]","[""entry-00278""]","[""GHSA-FVCW-9W9R-PXC7""]","[""CVE-2026-31829""]"
critical_operations,critical-operation-00006,https://github.com/FlowiseAI/Flowise,55b6913c03f0dba37cc207975f0c0d0786e0f3c7,"[""mixed-02""]","[""entry-00261""]","[""GHSA-WVHQ-WP8G-C7VQ""]","[""CVE-2026-30820""]"
critical_operations,critical-operation-00007,https://github.com/FlowiseAI/Flowise,55b6913c03f0dba37cc207975f0c0d0786e0f3c7,"[""mixed-02""]","[""entry-00262""]","[""GHSA-J8G8-J7FC-43V6""]","[""CVE-2026-30821""]"
critical_operations,critical-operation-00008,https://github.com/FlowiseAI/Flowise,55b6913c03f0dba37cc207975f0c0d0786e0f3c7,"[""mixed-02""]","[""entry-00263""]","[""GHSA-J8G8-J7FC-43V6""]","[""CVE-2026-30821""]"
critical_operations,critical-operation-00009,https://github.com/FlowiseAI/Flowise,af81d87063b63829459ffdad3d05008dfbd2a238,"[""mixed-02""]","[""entry-00269""]","[""GHSA-CWC3-P92J-G7QM""]","[""CVE-2026-30823""]"
critical_operations,critical-operation-00010,https://github.com/FlowiseAI/Flowise,af81d87063b63829459ffdad3d05008dfbd2a238,"[""mixed-02""]","[""entry-00270""]","[""GHSA-CWC3-P92J-G7QM""]","[""CVE-2026-30823""]"
critical_operations,critical-operation-00011,https://github.com/FlowiseAI/Flowise,c045ceb872c01a583e817480de4fc1a0a4cbf57f,"[""mixed-02""]","[""entry-00268""]","[""GHSA-MQ4R-H2GH-QV7X""]","[""CVE-2026-30822""]"
critical_operations,critical-operation-00012,https://github.com/FlowiseAI/Flowise,e135b2943362da036a6942d931b9de76094874af,"[""mixed-02""]","[""entry-00265""]","[""GHSA-5F53-522J-J454""]","[""CVE-2026-30824""]"
critical_operations,critical-operation-00013,https://github.com/FlowiseAI/Flowise,e135b2943362da036a6942d931b9de76094874af,"[""mixed-02""]","[""entry-00267""]","[""GHSA-5F53-522J-J454""]","[""CVE-2026-30824""]"
critical_operations,critical-operation-00014,https://github.com/FlowiseAI/Flowise,e135b2943362da036a6942d931b9de76094874af,"[""mixed-02""]","[""entry-00264""]","[""GHSA-5F53-522J-J454""]","[""CVE-2026-30824""]"
critical_operations,critical-operation-00015,https://github.com/FlowiseAI/Flowise,e135b2943362da036a6942d931b9de76094874af,"[""mixed-02""]","[""entry-00266""]","[""GHSA-5F53-522J-J454""]","[""CVE-2026-30824""]"
critical_operations,critical-operation-00016,https://github.com/FlowiseAI/Flowise,f0c1294173a55f26e0b972c39c0c16917f5ca9e7,"[""mixed-02""]","[""entry-00471"",""entry-00474"",""entry-00481""]","[""GHSA-2X8M-83VC-6WV4""]",[]
critical_operations,critical-operation-00017,https://github.com/FlowiseAI/Flowise,f0c1294173a55f26e0b972c39c0c16917f5ca9e7,"[""mixed-02""]","[""entry-00475""]","[""GHSA-2X8M-83VC-6WV4""]",[]
critical_operations,critical-operation-00018,https://github.com/FlowiseAI/Flowise,f0c1294173a55f26e0b972c39c0c16917f5ca9e7,"[""mixed-02""]","[""entry-00469""]","[""GHSA-2X8M-83VC-6WV4""]",[]
critical_operations,critical-operation-00019,https://github.com/FlowiseAI/Flowise,f0c1294173a55f26e0b972c39c0c16917f5ca9e7,"[""mixed-02""]","[""entry-00478""]","[""GHSA-6F7G-V4PP-R667""]","[""CVE-2026-41273""]"
critical_operations,critical-operation-00020,https://github.com/FlowiseAI/Flowise,f0c1294173a55f26e0b972c39c0c16917f5ca9e7,"[""mixed-02""]","[""entry-00477""]","[""GHSA-6F7G-V4PP-R667""]","[""CVE-2026-41273""]"
critical_operations,critical-operation-00021,https://github.com/NVIDIA/NeMo,4d313cf5f097529420f27278b28a569e15190b1b,"[""mixed-03""]","[""entry-00156""]","[""GHSA-9379-MWVR-7WXX""]",[]
critical_operations,critical-operation-00022,https://github.com/NVIDIA/NeMo,4d313cf5f097529420f27278b28a569e15190b1b,"[""mixed-03""]","[""entry-00157""]","[""GHSA-9379-MWVR-7WXX""]",[]
critical_operations,critical-operation-00023,https://github.com/NVIDIA/NeMo,4d313cf5f097529420f27278b28a569e15190b1b,"[""mixed-03""]","[""entry-00151""]","[""GHSA-9379-MWVR-7WXX""]",[]
critical_operations,critical-operation-00024,https://github.com/NVIDIA/NeMo,4d313cf5f097529420f27278b28a569e15190b1b,"[""mixed-03""]","[""entry-00154""]","[""GHSA-9379-MWVR-7WXX""]",[]
critical_operations,critical-operation-00025,https://github.com/NVIDIA/NeMo,4d313cf5f097529420f27278b28a569e15190b1b,"[""mixed-03""]","[""entry-00155""]","[""GHSA-9379-MWVR-7WXX""]",[]
critical_operations,critical-operation-00026,https://github.com/NVIDIA/NeMo,d282d04322a8e3c9e30d743e15b1e409b05da0fd,"[""mixed-03""]","[""entry-00336""]","[""GHSA-V7V2-M736-CF3C""]","[""CVE-2026-24159""]"
critical_operations,critical-operation-00027,https://github.com/NVIDIA/NeMo,d282d04322a8e3c9e30d743e15b1e409b05da0fd,"[""mixed-03""]","[""entry-00335""]","[""GHSA-V7V2-M736-CF3C""]","[""CVE-2026-24159""]"
critical_operations,critical-operation-00028,https://github.com/NVIDIA/NeMo,d282d04322a8e3c9e30d743e15b1e409b05da0fd,"[""mixed-03""]","[""entry-00337""]","[""GHSA-V7V2-M736-CF3C""]","[""CVE-2026-24159""]"
critical_operations,critical-operation-00029,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00343""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00030,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00346""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00031,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00347""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00032,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00339""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00033,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00345""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00034,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00342""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00035,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,"[""mixed-03""]","[""entry-00344""]","[""GHSA-M4JW-WGMF-889X""]","[""CVE-2026-24157""]"
critical_operations,critical-operation-00036,https://github.com/PrefectHQ/fastmcp,c861862aededc7294cea5634d77e6926444ca101,"[""mixed-05""]","[""entry-00395""]","[""GHSA-VV7Q-7JX5-F767""]","[""CVE-2026-32871""]"
critical_operations,critical-operation-00037,https://github.com/Significant-Gravitas/AutoGPT,f0c25036082a5e53650ae7230bcfcf9309bbb5d5,"[""mixed-05""]","[""entry-00098""]","[""GHSA-R277-3XC5-C79V""]","[""CVE-2026-24780""]"
critical_operations,critical-operation-00038,https://github.com/Significant-Gravitas/AutoGPT,f0c25036082a5e53650ae7230bcfcf9309bbb5d5,"[""mixed-05""]","[""entry-00097""]","[""GHSA-R277-3XC5-C79V""]","[""CVE-2026-24780""]"
