language,sloc,source_files,source_bytes,snapshot_count,primary_snapshot_count,primary_entry_count,sloc_percentage,primary_entry_percentage
TypeScript,22638058,144739,783866629,46,28,94,63.62271081573476,60.256410256410255
Python,6782456,45740,389284836,43,19,45,19.06162784406883,28.846153846153847
Go,1653170,8121,64330652,15,6,15,4.646121007342955,9.615384615384615
Vuejs Component,1376675,7394,42117802,12,0,0,3.8690507556898943,0.0
JSX,539647,2462,35226173,11,0,0,1.5166409160882448,0.0
Java,523177,117,26720282,5,0,0,1.4703531096370397,0.0
Swift,485971,3212,20063747,7,0,0,1.3657881960472686,0.0
C++,297655,753,13750461,8,0,0,0.8365389817385188,0.0
JavaScript,277907,2008,56302315,46,0,0,0.7810385809007292,0.0
C/C++ Header,164244,775,7968630,5,0,0,0.4615965077578448,0.0
Svelte,152074,1018,5075080,2,2,2,0.42739355666427076,1.2820512820512822
SCSS,116516,899,3337784,17,0,0,0.32746023415109865,0.0
CSS,113104,318,3796106,50,0,0,0.31787104194639243,0.0
Bourne Shell,100491,1841,4807556,53,0,0,0.2824230697078346,0.0
Kotlin,94487,578,3659838,7,0,0,0.2655492391108076,0.0
HTML,67332,263,5751481,49,0,0,0.18923197231162908,0.0
Handlebars,58872,140,5141228,17,0,0,0.16545572200335987,0.0
Jupyter Notebook,56907,274,21599085,11,0,0,0.1599332241480704,0.0
Protocol Buffers,23388,109,1211423,15,0,0,0.06573037141959812,0.0
SQL,14878,386,874279,15,0,0,0.041813599537402976,0.0
R,9824,128,434340,2,0,0,0.02760967884496887,0.0
Bourne Again Shell,8068,68,287794,16,0,0,0.022674561168689825,0.0
Dart,4566,79,203562,1,0,0,0.012832430130916924,0.0
Jinja Template,3945,138,278052,4,0,0,0.011087152182756738,0.0
Groovy,3708,34,206754,2,0,0,0.010421079922347778,0.0
Prisma Schema,2760,6,125614,2,0,0,0.007756790880711939,0.0
Scala,1617,22,85796,2,0,0,0.0045444677007649295,0.0
Nunjucks,1525,18,70602,1,0,0,0.004285908004741198,0.0
DOS Batch,1325,60,45729,32,0,0,0.0037238217090374342,0.0
Objective-C,1267,4,55994,1,0,0,0.0035608166832833427,0.0
PowerShell,1247,9,53545,7,0,0,0.0035046080537129666,0.0
LESS,1211,5,26736,3,0,0,0.003403432520486289,0.0
Rego,1039,52,44030,7,0,0,0.002920038306181052,0.0
C,684,6,22646,4,0,0,0.0019223351313068717,0.0
GraphQL,568,2,12929,2,0,0,0.0015963250797986887,0.0
Mako,502,19,17832,12,0,0,0.0014108366022164468,0.0
ANTLR Grammar,322,2,16726,2,0,0,0.0009049589360830595,0.0
Ruby,224,9,11866,2,0,0,0.0006295366511882153,0.0
XSLT,149,3,7380,1,0,0,0.00041875429029930393,0.0
yacc,63,1,1260,1,0,0,0.00017705718314668556,0.0
AppleScript,56,1,1828,1,0,0,0.00015738416279705383,0.0
Elixir Script,27,1,1068,1,0,0,7.58816499200081e-05,0.0
PHP,11,2,1674,1,0,0,3.0914746263707e-05,0.0
IDL,8,1,247,1,0,0,2.2483451828150545e-05,0.0
