batch_id,repo_url,commit,entries,primary_language,sloc,source_files,source_bytes
mixed-05,https://github.com/BerriAI/litellm,24f847b84c947e13b765edaf172f646fd1b06297,1,Python,625842,3225,39410701
mixed-02,https://github.com/FlowiseAI/Flowise,1ae1638ed972bcc913611ae9268a972d0ae127ec,1,TypeScript,210658,1406,10496047
mixed-02,https://github.com/FlowiseAI/Flowise,4b1b8ba376db92ba2974b70c9faee05444157dd9,2,TypeScript,219301,1501,10918886
mixed-02,https://github.com/FlowiseAI/Flowise,55b6913c03f0dba37cc207975f0c0d0786e0f3c7,4,TypeScript,211553,1409,10574108
mixed-02,https://github.com/FlowiseAI/Flowise,af81d87063b63829459ffdad3d05008dfbd2a238,2,TypeScript,213042,1420,10654126
mixed-02,https://github.com/FlowiseAI/Flowise,c045ceb872c01a583e817480de4fc1a0a4cbf57f,1,TypeScript,212941,1420,10650818
mixed-02,https://github.com/FlowiseAI/Flowise,e135b2943362da036a6942d931b9de76094874af,4,TypeScript,212581,1417,10632113
mixed-02,https://github.com/FlowiseAI/Flowise,f0c1294173a55f26e0b972c39c0c16917f5ca9e7,7,TypeScript,212900,1420,10646582
mixed-03,https://github.com/NVIDIA/NeMo,4d313cf5f097529420f27278b28a569e15190b1b,5,Python,402726,2536,31100280
mixed-03,https://github.com/NVIDIA/NeMo,d282d04322a8e3c9e30d743e15b1e409b05da0fd,3,Python,408623,2562,32333886
mixed-03,https://github.com/NVIDIA/NeMo,ffee9a91f4b78ebb441825975a827d80167a21d8,7,Python,408688,2562,32337332
mixed-05,https://github.com/PrefectHQ/fastmcp,c861862aededc7294cea5634d77e6926444ca101,1,Python,111986,651,6207533
mixed-05,https://github.com/Significant-Gravitas/AutoGPT,f0c25036082a5e53650ae7230bcfcf9309bbb5d5,2,Python,245242,1890,10865423
mixed-04,https://github.com/Tencent/WeKnora,10b6c98078dc5206c8fd00d3eebe5535a7571eb4,4,Go,135198,515,5571331
mixed-04,https://github.com/Tencent/WeKnora,a5d1233b969f66219cf183ec43349089169f1f88,1,Go,112983,467,4678788
mixed-04,https://github.com/apache/airflow,19c1a16dc8b44ba470198c300b25defc7848576f,1,Python,879566,7399,51914428
mixed-04,https://github.com/apache/airflow,dba47277f309255c7d40b1001578411d5cb29e2b,3,Python,911279,7612,53719471
mixed-04,https://github.com/apache/airflow,df4cb30b116c8628afc465876e08d58f2bcb897b,1,Python,922063,7688,54162890
mixed-04,https://github.com/aquasecurity/trivy,1885610c6a34811c8296416ae69f568002ef11ec,3,Go,224740,1783,7118760
mixed-04,https://github.com/czlonkowski/n8n-mcp,ff486ea04f0b20460141e5ef2be3d518e1772b80,2,TypeScript,159043,581,6928537
mixed-04,https://github.com/google/adk-python,d1121317ef4e1ac559f4ae13855ac1af28eef8f6,3,Python,191256,1292,14688389
mixed-05,https://github.com/jlowin/fastmcp,6bade1cbd973cbbbca26a84ed7c4cc58ecfda5b3,1,Python,72812,384,4032735
mixed-04,https://github.com/langchain-ai/langchain,b7d1831f9d3560ed4fb45134861eef3f4544eff3,3,Python,194999,2301,10308555
mixed-03,https://github.com/langflow-ai/langflow,73c1f203b0205d00928a0af7fa0e0fc93170f03e,3,Python,194416,2150,10502331
mixed-03,https://github.com/langflow-ai/langflow,908c141d972118286d682124ce53ced16a4140ea,2,TypeScript,102417,1388,6060879
mixed-03,https://github.com/langflow-ai/langflow,922a49acac1449bebcc50b2e4ac253e7a1235c92,1,Python,405585,3588,21918733
mixed-03,https://github.com/langflow-ai/langflow,e8bbae8eeb8729abd650f07bfc55957cbdbc1636,1,Python,404139,3575,21828585
mixed-04,https://github.com/milvus-io/milvus,2fad5b34f7d3cf44cf0436ae7f1f31fabf17b6a0,1,Go,862479,3552,39148515
mixed-04,https://github.com/milvus-io/milvus,5519df6efc738abadf46b23cf63b51a2145146d5,4,Go,965269,3801,44040518
mixed-04,https://github.com/mlflow/mlflow,083eac9cd0be4a8934fac7010f9248c7888c6da4,4,Python,966437,4218,51125108
mixed-04,https://github.com/mlflow/mlflow,ba41980d604d7fd7964b038945989a5077d1a645,2,Python,702836,3241,43518468
mixed-04,https://github.com/modelcontextprotocol/typescript-sdk,50d9fa3cd12e807e7963bcb9e1548786d3d5d941,2,TypeScript,50846,139,2560234
mixed-01,https://github.com/n8n-io/n8n,008cd8d08369ad188625fb5efaa6fa3707c1548e,2,TypeScript,1428330,9194,45529910
mixed-01,https://github.com/n8n-io/n8n,24af748fd3c809920afddfe58bf99c7fce6063d9,1,TypeScript,1539726,9735,49903307
mixed-01,https://github.com/n8n-io/n8n,3af9095245be3aaad6bc16622f379f79c6c6068f,5,TypeScript,1798280,10797,59738750
mixed-01,https://github.com/n8n-io/n8n,4bb3552d8a0c57b65571f06bdd976bb7431e81b2,3,TypeScript,1565099,9812,50797451
mixed-01,https://github.com/n8n-io/n8n,60670e1e40d304a4c46687a20ecaaf239e729632,3,TypeScript,1221398,8118,37949405
mixed-01,https://github.com/n8n-io/n8n,6d2e489e54d1d463dcd40e8b9c46fcd36c09f5e1,1,TypeScript,1669182,10298,54717180
